sample_id,juice_type,storage_temp_C,storage_day,batch,vitamin_c_mg_per_100ml,pH,microbial_load_log10,turbidity_NTU
S001,orange,4,0,1,52.11,3.62,1.9,13.2
S002,orange,4,0,2,51.32,3.62,1.86,12.1
S003,orange,4,0,3,51.99,3.63,1.91,13.1
S004,orange,4,2,1,50.62,3.67,2.06,12.7
S005,orange,4,2,2,50.73,3.61,2.09,13.4
S006,orange,4,2,3,50.54,3.62,2.12,13.4
S007,orange,4,4,1,49.05,3.62,2.25,14.4
S008,orange,4,4,2,49.34,3.64,2.36,14.3
S009,orange,4,4,3,49.02,3.61,2.25,14.9
S010,orange,4,6,1,47.76,3.59,2.33,15.0
S011,orange,4,6,2,48.06,,2.34,14.7
S012,orange,4,6,3,47.84,3.62,2.45,15.2
S013,orange,20,0,1,52.24,3.65,1.87,12.9
S014,orange,20,0,2,51.49,3.64,1.82,11.7
S015,orange,20,0,3,51.9,3.69,1.79,12.7
S016,orange,20,2,1,49.21,3.6,2.62,16.2
S017,orange,20,2,2,50.05,3.63,2.58,15.3
S018,orange,20,2,3,50.1,3.61,2.52,14.5
S019,orange,20,4,1,47.28,3.59,3.37,19.7
S020,orange,20,4,2,47.45,3.58,3.41,19.1
S021,orange,20,4,3,47.76,3.56,3.34,18.7
S022,orange,20,6,1,44.98,3.55,4.09,22.4
S023,orange,20,6,2,45.57,3.55,4.16,22.7
S024,orange,20,6,3,45.25,3.54,4.0,21.0
S025,orange,35,0,1,51.54,3.63,1.88,11.8
S026,orange,35,0,2,51.87,3.68,1.83,
S027,orange,35,0,3,51.67,3.64,1.78,11.8
S028,orange,35,2,1,49.34,3.55,3.18,18.5
S029,orange,35,2,2,48.84,3.55,3.15,17.8
S030,orange,35,2,3,49.13,3.59,3.26,18.5
S031,orange,35,4,1,45.74,3.53,4.46,25.0
S032,orange,35,4,2,46.39,3.54,4.54,23.6
S033,orange,35,4,3,45.88,3.5,4.41,22.9
S034,orange,35,6,1,43.37,3.46,5.64,28.6
S035,orange,35,6,2,43.26,3.49,5.88,32.5
S036,orange,35,6,3,43.3,3.44,5.59,29.3
S037,apple,4,0,1,43.72,3.81,1.71,13.1
S038,apple,4,0,2,44.37,3.82,1.74,12.6
S039,apple,4,0,3,43.41,3.81,1.75,14.6
S040,apple,4,2,1,42.65,3.83,1.9,13.2
S041,apple,4,2,2,42.26,3.79,2.08,14.3
S042,apple,4,2,3,42.89,3.79,2.0,14.7
S043,apple,4,4,1,41.15,3.79,2.06,15.1
S044,apple,4,4,2,41.04,3.77,2.02,14.7
S045,apple,4,4,3,41.75,3.8,2.1,15.2
S046,apple,4,6,1,40.26,3.79,2.26,16.4
